Time,device_frmpayload_data_rainfall
2023-11-22 18:27:26,800 µm
2023-11-22 18:30:26,1.40 mm
2023-11-22 18:33:26,1 mm
2023-11-22 18:36:26,1.40 mm
2023-11-22 18:39:26,200 µm
2023-11-22 18:42:26,200 µm
2023-11-22 18:45:26,200 µm
2023-11-22 18:51:26,600 µm
2023-11-22 18:54:26,600 µm
2023-11-22 18:57:26,200 µm
2023-11-22 19:00:26,400 µm
2023-11-22 19:06:26,200 µm
2023-11-22 19:18:26,0 mm
2023-11-22 19:21:26,0 mm
2023-11-22 19:24:26,0 mm
2023-11-22 19:27:26,0 mm
2023-11-22 19:30:26,0 mm
2023-11-22 19:33:26,0 mm
2023-11-22 19:36:26,0 mm
2023-11-22 19:39:26,0 mm
2023-11-22 19:42:26,0 mm
2023-11-22 19:45:26,0 mm
2023-11-22 19:48:26,0 mm
2023-11-22 19:51:26,200 µm
2023-11-22 19:54:26,400 µm
2023-11-22 19:57:26,200 µm
2023-11-22 20:00:26,200 µm
2023-11-22 20:06:26,1.20 mm
2023-11-22 20:09:26,3 mm
2023-11-22 20:12:26,1.80 mm
2023-11-22 20:15:26,2.60 mm
2023-11-22 20:18:26,2.80 mm
2023-11-22 20:21:26,1.80 mm
2023-11-22 20:24:26,200 µm
2023-11-22 20:30:26,200 µm
2023-11-22 20:36:26,0 mm
2023-11-22 20:39:26,0 mm
2023-11-22 20:42:26,0 mm
2023-11-22 20:45:26,0 mm
2023-11-22 20:48:26,0 mm
2023-11-22 20:51:26,0 mm
2023-11-22 20:54:26,0 mm
2023-11-22 20:57:26,0 mm
2023-11-22 21:00:26,0 mm
2023-11-22 21:03:26,0 mm
2023-11-22 21:06:26,0 mm
2023-11-22 21:09:26,0 mm
2023-11-22 21:15:26,200 µm
2023-11-22 21:18:26,200 µm
2023-11-22 21:27:26,200 µm
2023-11-22 21:33:26,0 mm
2023-11-22 21:39:26,600 µm
2023-11-22 21:42:26,1.60 mm
2023-11-22 21:45:26,2 mm
2023-11-22 21:48:26,1.60 mm
2023-11-22 21:51:26,1.20 mm
2023-11-22 21:54:26,1 mm
2023-11-22 21:57:26,1 mm
2023-11-22 22:00:26,600 µm
2023-11-22 22:03:26,400 µm
2023-11-22 22:06:26,1.20 mm
2023-11-22 22:09:26,800 µm
2023-11-22 22:12:26,600 µm
2023-11-22 22:15:26,600 µm
2023-11-22 22:18:26,600 µm
2023-11-22 22:21:26,600 µm
2023-11-22 22:24:26,800 µm
2023-11-22 22:27:26,400 µm
2023-11-22 22:30:26,400 µm
2023-11-22 22:33:26,600 µm
2023-11-22 22:36:26,800 µm
2023-11-22 22:39:26,1 mm
2023-11-22 22:42:26,800 µm
2023-11-22 22:45:26,2.2 mm
2023-11-22 22:48:26,2.6 mm
2023-11-22 22:51:26,3.2 mm
2023-11-22 22:54:26,5.8 mm
2023-11-22 22:57:26,8 mm
2023-11-22 23:00:26,7.6 mm
2023-11-22 23:03:26,4.2 mm
2023-11-22 23:06:26,5.4 mm
2023-11-22 23:09:26,5.2 mm
2023-11-22 23:12:26,3.6 mm
2023-11-22 23:15:26,3.2 mm
2023-11-22 23:18:26,2.6 mm
2023-11-22 23:21:26,3.4 mm
2023-11-22 23:24:26,3.8 mm
2023-11-22 23:27:26,2.4 mm
2023-11-22 23:30:26,2 mm
2023-11-22 23:33:26,1.8 mm
2023-11-22 23:36:26,800 µm
2023-11-22 23:39:26,800 µm
2023-11-22 23:42:26,400 µm
2023-11-22 23:45:26,600 µm
2023-11-22 23:48:26,400 µm
2023-11-22 23:51:26,400 µm
2023-11-22 23:54:26,200 µm
2023-11-22 23:57:26,200 µm
2023-11-23 0:00:26,200 µm
2023-11-23 0:03:26,400 µm
2023-11-23 0:09:26,400 µm
2023-11-23 0:12:26,400 µm
2023-11-23 0:15:26,400 µm
2023-11-23 0:18:26,200 µm
2023-11-23 0:21:26,200 µm
2023-11-23 0:24:26,200 µm
2023-11-23 0:27:26,200 µm
2023-11-23 0:30:26,200 µm
2023-11-23 0:33:26,400 µm
2023-11-23 0:36:26,200 µm
2023-11-23 0:39:26,200 µm
2023-11-23 0:42:26,200 µm
2023-11-23 0:45:26,200 µm
2023-11-23 0:48:26,0 mm
2023-11-23 0:51:26,200 µm
2023-11-23 0:54:26,200 µm
2023-11-23 0:57:26,0 mm
2023-11-23 1:00:26,0 mm
2023-11-23 1:03:26,200 µm
2023-11-23 1:06:26,0 mm
2023-11-23 1:09:26,200 µm
2023-11-23 1:12:26,0 mm
2023-11-23 1:15:26,0 mm
2023-11-23 1:18:26,200 µm
2023-11-23 1:21:26,0 mm
2023-11-23 1:24:26,200 µm
2023-11-23 1:27:26,0 mm
2023-11-23 1:30:26,200 µm
2023-11-23 1:33:26,0 mm
2023-11-23 1:36:26,0 mm
2023-11-23 1:39:26,0 mm
2023-11-23 1:42:26,200 µm
2023-11-23 1:45:26,0 mm
2023-11-23 1:48:26,0 mm
2023-11-23 1:51:26,200 µm
2023-11-23 1:54:26,0 mm
2023-11-23 1:57:26,200 µm
2023-11-23 2:00:26,200 µm
2023-11-23 2:03:26,200 µm
2023-11-23 2:06:26,0 mm
2023-11-23 2:09:26,0 mm
2023-11-23 2:12:26,0 mm
2023-11-23 2:15:26,0 mm
2023-11-23 2:18:26,0 mm
2023-11-23 2:21:26,200 µm
2023-11-23 2:24:26,0 mm
2023-11-23 2:30:26,0 mm
2023-11-23 2:33:26,0 mm
2023-11-23 2:36:26,0 mm
2023-11-23 2:39:26,0 mm
2023-11-23 2:42:26,0 mm
2023-11-23 2:45:26,0 mm
2023-11-23 2:48:26,0 mm
2023-11-23 2:51:26,0 mm
2023-11-23 2:54:26,0 mm
2023-11-23 2:57:26,0 mm
2023-11-23 3:00:26,0 mm
2023-11-23 4:00:26,0 mm
2023-11-23 4:03:26,0 mm
2023-11-23 4:06:26,0 mm
2023-11-23 4:09:26,0 mm
2023-11-23 4:12:26,0 mm
2023-11-23 4:15:26,0 mm
2023-11-23 4:18:26,0 mm
2023-11-23 4:21:26,0 mm
2023-11-23 4:24:26,0 mm
2023-11-23 4:27:26,200 µm
2023-11-23 4:30:26,200 µm
2023-11-23 4:33:26,0 mm
2023-11-23 4:36:26,0 mm
2023-11-23 4:39:26,200 µm
2023-11-23 4:42:26,0 mm
2023-11-23 4:45:26,0 mm
2023-11-23 4:51:26,0 mm
2023-11-23 4:54:26,0 mm
2023-11-23 4:57:25,0 mm
2023-11-23 5:00:25,0 mm
2023-11-23 5:03:25,0 mm
2023-11-23 5:06:25,0 mm
2023-11-23 5:09:25,0 mm
2023-11-23 5:12:25,0 mm
2023-11-23 5:15:25,0 mm
2023-11-23 5:18:25,0 mm
2023-11-23 5:21:25,0 mm
2023-11-23 5:24:25,0 mm
2023-11-23 5:27:25,0 mm
2023-11-23 5:30:25,0 mm
2023-11-23 5:33:25,0 mm
2023-11-23 5:36:25,0 mm
2023-11-23 5:39:25,0 mm
2023-11-23 5:42:25,200 µm
2023-11-23 5:45:25,0 mm
2023-11-23 5:48:25,0 mm
2023-11-23 5:51:25,0 mm
2023-11-23 5:54:25,0 mm
2023-11-23 5:57:25,0 mm
2023-11-23 6:00:25,0 mm
2023-11-23 6:03:25,0 mm
2023-11-23 6:06:25,0 mm
2023-11-23 6:09:25,0 mm
2023-11-23 6:12:25,0 mm
2023-11-23 6:15:25,0 mm
2023-11-23 6:18:25,0 mm
2023-11-23 6:21:25,200 µm
2023-11-23 6:24:25,0 mm
2023-11-23 6:27:25,0 mm
2023-11-23 6:30:25,0 mm
2023-11-23 6:33:25,0 mm
2023-11-23 6:36:25,0 mm
2023-11-23 6:39:25,0 mm
2023-11-23 6:42:25,0 mm
2023-11-23 6:45:25,0 mm
2023-11-23 6:48:25,0 mm
2023-11-23 6:51:25,0 mm
2023-11-23 6:54:25,0 mm
2023-11-23 6:57:25,0 mm
2023-11-23 7:00:25,0 mm
2023-11-23 7:03:25,0 mm
2023-11-23 7:06:25,0 mm
2023-11-23 7:09:25,0 mm
2023-11-23 7:12:25,0 mm
2023-11-23 7:15:25,0 mm
2023-11-23 7:18:25,0 mm
2023-11-23 7:21:25,0 mm
2023-11-23 7:24:25,0 mm
2023-11-23 7:27:25,0 mm
2023-11-23 7:30:25,200 µm
2023-11-23 7:33:25,0 mm
2023-11-23 7:36:25,0 mm
2023-11-23 7:39:25,0 mm
2023-11-23 7:42:25,0 mm
