Time,device_frmpayload_data_rainfall
2023-11-22 0:00:28,0 mm
2023-11-22 0:03:28,0 mm
2023-11-22 0:06:28,0 mm
2023-11-22 0:09:28,0 mm
2023-11-22 0:12:28,0 mm
2023-11-22 0:15:28,0 mm
2023-11-22 0:18:28,0 mm
2023-11-22 0:21:28,0 mm
2023-11-22 0:24:28,0 mm
2023-11-22 0:27:28,0 mm
2023-11-22 0:30:28,0 mm
2023-11-22 0:33:28,0 mm
2023-11-22 0:36:28,0 mm
2023-11-22 0:39:28,0 mm
2023-11-22 0:42:28,0 mm
2023-11-22 0:45:28,0 mm
2023-11-22 0:48:28,0 mm
2023-11-22 0:51:28,0 mm
2023-11-22 0:54:28,0 mm
2023-11-22 0:57:28,0 mm
2023-11-22 1:00:28,0 mm
2023-11-22 1:03:28,0 mm
2023-11-22 1:06:28,0 mm
2023-11-22 1:09:28,0 mm
2023-11-22 1:12:28,0 mm
2023-11-22 1:15:28,0 mm
2023-11-22 1:18:28,0 mm
2023-11-22 1:21:28,0 mm
2023-11-22 1:24:28,0 mm
2023-11-22 1:27:28,0 mm
2023-11-22 1:30:28,0 mm
2023-11-22 1:33:28,0 mm
2023-11-22 1:36:28,0 mm
2023-11-22 1:39:28,0 mm
2023-11-22 1:42:28,0 mm
2023-11-22 1:45:28,0 mm
2023-11-22 1:48:28,0 mm
2023-11-22 1:51:28,0 mm
2023-11-22 1:54:28,0 mm
2023-11-22 1:57:28,0 mm
2023-11-22 2:00:28,0 mm
2023-11-22 2:03:28,0 mm
2023-11-22 2:06:28,0 mm
2023-11-22 2:09:28,0 mm
2023-11-22 2:12:28,0 mm
2023-11-22 2:15:28,0 mm
2023-11-22 2:18:28,0 mm
2023-11-22 2:21:28,0 mm
2023-11-22 2:24:28,0 mm
2023-11-22 2:27:28,0 mm
2023-11-22 2:30:28,0 mm
2023-11-22 2:33:28,0 mm
2023-11-22 2:36:28,0 mm
2023-11-22 2:39:28,0 mm
2023-11-22 2:42:28,0 mm
